testnet address,score,reward QKC
0x72fba8f4a331c5e2ed7db9997bf54ef74d7f27d7078686ea,75,7000
0x07759c2185706c94ee21333ed4d0d503b85b3ed7e6dddfea,25,3000
0x6df6792a5377c14cb7e7dd9b465d00a758e0b78f7b004879,30,3000
0x443fb0be1fe385dd815e8d7e85e2283cc87b88510bed4c3a,25,1000
0x0a69d96bbe2a2842009b43bb57845221c3c3ef48d537a2c9,25,1000
0xd7017d60dbc3e3d593eb501d35bfc7b57b799bc861627a26,30,1000
0x726228078287ebfddccc80dcb1727763aba8643371b046fa,30,1000
0xa08a8468d50aeff0c2250ddb9ad1070ef443d9208f5a1a1a,25,1000
0x876e6c374941d73ab31e19f36f5ea2a3cfe87e1ca5d2d390,100,1000
0x5280de19a0bcd5378a2d891d3afefb8f140b5ac74d15ef97,100,1000
